1424488336,12552.8,12681.7
1424488337,12555.3,12689.5
1424488338,12553.8,12688.5
1424488339,12554.1,12681.1
1424488340,12552.6,12682.9
1424488341,12543.1,12673.8
1424488342,12539.0,12666.8
1424488343,12547.4,12674.1
1424488344,12546.1,12673.7
1424488345,12548.6,12680.1
1424488346,12555.5,12686.7
1424488347,12555.8,12681.8
1424488348,12561.2,12688.6
1424488349,12563.4,12693.2
1424488350,12558.3,12687.8
1424488351,12566.1,12694.9
1424488352,12551.0,12680.9
1424488353,12554.1,12683.4
1424488354,12545.1,12675.5
1424488355,12545.1,12675.5
1424488356,12540.5,12667.5
1424488357,12545.6,12675.4
1424488358,12548.3,12676.6
1424488359,12549.8,12674.4
1424488360,12554.2,12679.3
1424488361,12560.9,12682.3
1424488362,12558.0,12678.3
1424488363,12557.3,12679.7
1424488364,12560.3,12682.3
1424488365,12560.3,12685.5
