23825698,40.8,42.316974793,0,-2.8,-15.361159131,1,2104.6,2087.8651418,0
23825699,40.8,43.627397892,0,-2.8,-96.090172121,1,2104.6,2071.1834078,0
23825700,40.8,44.758450307,0,-2.8,-475.64024506,1,2104.6,2054.5567611,0
23825701,40.8,45.734501437,0,-2.8,-376.48004281,1,2104.6,2037.9871773,0
23825702,40.8,46.576976666,0,-2.8,-397.99929461,1,2104.6,2021.4766431,0
23825703,40.8,47.304490833,0,-2.8,-388.85008345,1,2104.6,2005.0271544,0
23825704,40.8,47.933103196,0,-2.8,-392.43924139,1,2104.6,1988.640714,0
23825705,40.8,48.476613246,0,-2.8,-390.97791016,1,2104.6,1972.3193303,0
23825706,40.8,48.946855067,0,333.72,-391.56460053,1,2104.6,1956.0650154,0
23825707,40.8,49.353970031,0,1679.8,-391.32768829,1,2104.6,1939.8797827,0
