2.3256e+07,6.1617
2.3256e+07,6.1817
2.3256e+07,118
2.3256e+07,155.95
2.3256e+07,155.75
2.3256e+07,155.42
2.3256e+07,155.22
2.3256e+07,155.13
2.3256e+07,155.09
2.3256e+07,154.89
2.3256e+07,154.75
2.3256e+07,154.68
2.3256e+07,154.78
2.3256e+07,154.86
2.3256e+07,154.9
2.3256e+07,154.75
2.3256e+07,94.172
2.3256e+07,4.3933
2.3256e+07,4.1967
2.3256e+07,4.2117
2.3256e+07,4.1833
2.3256e+07,4.2333
2.3256e+07,4.16
2.3256e+07,4.2233
2.3256e+07,4.2083
2.3256e+07,4.21
2.3256e+07,60.242
2.3256e+07,109.2
2.3256e+07,113.95
2.3256e+07,101.37
2.3256e+07,98.785
2.3256e+07,102.91
2.3256e+07,118.58
2.3256e+07,122.61
2.3256e+07,124.8
2.3256e+07,126.14
2.3256e+07,126.88
2.3256e+07,127.51
2.3256e+07,127.63
2.3256e+07,127.79
2.3256e+07,127.91
2.3256e+07,127.89
2.3256e+07,127.93
2.3256e+07,127.88
2.3256e+07,127.82
2.3256e+07,127.77
2.3256e+07,127.81
2.3256e+07,127.76
2.3256e+07,127.73
2.3256e+07,127.73
2.3256e+07,127.6
2.3256e+07,127.48
2.3256e+07,127.34
2.3256e+07,127.23
2.3256e+07,127.19
2.3256e+07,127.14
2.3256e+07,127.07
2.3256e+07,119.29
2.3256e+07,109.54
2.3256e+07,105.51
2.3256e+07,103.51
2.3256e+07,102.23
2.3256e+07,101.11
2.3256e+07,99.345
2.3256e+07,99.038
2.3256e+07,98.867
2.3256e+07,98.462
2.3256e+07,98.065
2.3256e+07,97.748
2.3256e+07,97.452
2.3256e+07,97.477
2.3256e+07,97.057
2.3256e+07,97.112
2.3256e+07,96.838
2.3256e+07,96.548
2.3256e+07,96.472
2.3256e+07,96.285
2.3256e+07,96.152
2.3256e+07,95.997
2.3256e+07,95.832
2.3256e+07,95.857
2.3256e+07,95.532
2.3256e+07,16.827
2.3256e+07,6.2517
2.3256e+07,6.02
2.3256e+07,5.9533
2.3256e+07,5.975
2.3256e+07,6.495
2.3256e+07,6.005
2.3256e+07,6.0467
2.3256e+07,6.0283
